Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
PITT (ZONE)	PITT (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	200.00K	300.00K
WESTERN DARE (ZONE)	WESTERN DARE (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	50.00K
EASTERN DARE (ZONE)	EASTERN DARE (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	100.00K	0.00K
CHARLESTON (ZONE)	CHARLESTON (ZONE)	SC	8/14/2004	7:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
BERKELEY (ZONE)	BERKELEY (ZONE)	SC	8/14/2004	7:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
HORRY (ZONE)	HORRY (ZONE)	SC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	3	4.000M	0.00K
BRUNSWICK (ZONE)	BRUNSWICK (ZONE)	NC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	0	6.300M	2.000M
COLUMBUS (ZONE)	COLUMBUS (ZONE)	NC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	0	150.00K	0.00K
PENDER (ZONE)	PENDER (ZONE)	NC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	0	875.00K	0.00K
NEW HANOVER (ZONE)	NEW HANOVER (ZONE)	NC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	0	3.000M	500.00K
BLADEN (ZONE)	BLADEN (ZONE)	NC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	3	100.00K	0.00K
GEORGETOWN (ZONE)	GEORGETOWN (ZONE)	SC	8/14/2004	8:00	EST	Hurricane (typhoon)		0	0	2.500M	0.00K
GUAM (ZONE)	GUAM (ZONE)	XX	8/22/2004	0:00	SST	Hurricane (typhoon)		0	4	25.00K	0.00K
NORTHERN MARIANAS (ZONE)	NORTHERN MARIANAS (ZONE)	XX	8/22/2004	0:00	SST	Hurricane (typhoon)		0	13	17.000M	1.000M
NORTHERN MARIANAS (ZONE)	NORTHERN MARIANAS (ZONE)	XX	9/1/2004	0:00	SST	Hurricane (typhoon)		0	0	250.00K	250.00K
MONROE/UPPER KEYS (ZONE)	MONROE/UPPER KEYS (ZONE)	FL	9/1/2004	22:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
MONROE/MIDDLE KEYS (ZONE)	MONROE/MIDDLE KEYS (ZONE)	FL	9/1/2004	22:00	EST	Hurricane (typhoon)		0	0	10.00K	0.00K
MONROE/LOWER KEYS (ZONE)	MONROE/LOWER KEYS (ZONE)	FL	9/1/2004	22:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
COASTAL BROWARD (ZONE)	COASTAL BROWARD (ZONE)	FL	9/4/2004	9:00	EST	Hurricane (typhoon)		0	0	80.000M	0.00K
COASTAL DADE (ZONE)	COASTAL DADE (ZONE)	FL	9/4/2004	9:00	EST	Hurricane (typhoon)		0	0	34.000M	0.00K
INLAND COLLIER (ZONE)	INLAND COLLIER (ZONE)	FL	9/4/2004	11:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
COASTAL PALM BEACH (ZONE)	COASTAL PALM BEACH (ZONE)	FL	9/4/2004	11:00	EST	Hurricane (typhoon)		0	0	500.000M	0.00K
COASTAL COLLIER (ZONE)	COASTAL COLLIER (ZONE)	FL	9/4/2004	11:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
HENDRY (ZONE)	HENDRY (ZONE)	FL	9/4/2004	13:00	EST	Hurricane (typhoon)		0	0	2.000M	0.00K
GLADES (ZONE)	GLADES (ZONE)	FL	9/4/2004	13:00	EST	Hurricane (typhoon)		0	0	5.000M	20.000M
INLAND PALM BEACH (ZONE)	INLAND PALM BEACH (ZONE)	FL	9/4/2004	13:00	EST	Hurricane (typhoon)		0	0	0.00K	70.000M
MARTIN (ZONE)	MARTIN (ZONE)	FL	9/4/2004	19:49	EST	Hurricane (typhoon)		0	0	1.000B	21.300M
ST. LUCIE (ZONE)	ST. LUCIE (ZONE)	FL	9/4/2004	21:10	EST	Hurricane (typhoon)		0	0	2.500B	47.200M
INDIAN RIVER (ZONE)	INDIAN RIVER (ZONE)	FL	9/4/2004	21:31	EST	Hurricane (typhoon)		0	0	1.000B	20.300M
BREVARD (ZONE)	BREVARD (ZONE)	FL	9/4/2004	22:24	EST	Hurricane (typhoon)		0	0	90.000M	3.700M
VOLUSIA (ZONE)	VOLUSIA (ZONE)	FL	9/4/2004	22:45	EST	Hurricane (typhoon)		0	0	240.000M	700.00K
MONROE/LOWER KEYS (ZONE)	MONROE/LOWER KEYS (ZONE)	FL	9/12/2004	10:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
MONROE/UPPER KEYS (ZONE)	MONROE/UPPER KEYS (ZONE)	FL	9/12/2004	10:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
MONROE/MIDDLE KEYS (ZONE)	MONROE/MIDDLE KEYS (ZONE)	FL	9/12/2004	10:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
LOWER MOBILE (ZONE)	LOWER MOBILE (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	2.500B	25.000M
COASTAL SANTA ROSA (ZONE)	COASTAL SANTA ROSA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		1	0	0.00K	0.00K
COASTAL OKALOOSA (ZONE)	COASTAL OKALOOSA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
COASTAL ESCAMBIA (ZONE)	COASTAL ESCAMBIA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		6	0	4.000B	25.000M
INLAND SANTA ROSA (ZONE)	INLAND SANTA ROSA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
INLAND OKALOOSA (ZONE)	INLAND OKALOOSA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
INLAND ESCAMBIA (ZONE)	INLAND ESCAMBIA (ZONE)	FL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
UPPER MOBILE (ZONE)	UPPER MOBILE (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
LOWER BALDWIN (ZONE)	LOWER BALDWIN (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
UPPER BALDWIN (ZONE)	UPPER BALDWIN (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
COVINGTON (ZONE)	COVINGTON (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CHOCTAW (ZONE)	CHOCTAW (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CLARKE (ZONE)	CLARKE (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CONECUH (ZONE)	CONECUH (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
BUTLER (ZONE)	BUTLER (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CRENSHAW (ZONE)	CRENSHAW (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
ESCAMBIA (ZONE)	ESCAMBIA (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
MONROE (ZONE)	MONROE (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
WILCOX (ZONE)	WILCOX (ZONE)	AL	9/13/2004	21:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
GEORGE (ZONE)	GEORGE (ZONE)	MS	9/14/2004	13:34	CST	Hurricane (typhoon)		0	0	200.00K	0.00K
WAYNE (ZONE)	WAYNE (ZONE)	MS	9/14/2004	13:34	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
STONE (ZONE)	STONE (ZONE)	MS	9/14/2004	13:34	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
PERRY (ZONE)	PERRY (ZONE)	MS	9/14/2004	13:34	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
GREENE (ZONE)	GREENE (ZONE)	MS	9/14/2004	13:34	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
BAY (ZONE)	BAY (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		2	8	25.000M	0.00K
MADISON (ZONE)	MADISON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	0.00K
INLAND WALTON (ZONE)	INLAND WALTON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	5.000M	0.00K
TAYLOR (ZONE)	TAYLOR (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	0.00K
DIXIE (ZONE)	DIXIE (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	0.00K
HOLMES (ZONE)	HOLMES (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	500.00K	0.00K
GULF (ZONE)	GULF (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	30.000M	0.00K
FRANKLIN (ZONE)	FRANKLIN (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	150.00K	0.00K
GADSDEN (ZONE)	GADSDEN (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	1.500M	0.00K
JACKSON (ZONE)	JACKSON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	3	5.000M	0.00K
JEFFERSON (ZONE)	JEFFERSON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	100.00K	0.00K
CALHOUN (ZONE)	CALHOUN (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		4	5	2.500M	0.00K
LEON (ZONE)	LEON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	250.00K	0.00K
LIBERTY (ZONE)	LIBERTY (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	100.00K	0.00K
WAKULLA (ZONE)	WAKULLA (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	150.00K	0.00K
LAFAYETTE (ZONE)	LAFAYETTE (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
COASTAL WALTON (ZONE)	COASTAL WALTON (ZONE)	FL	9/15/2004	0:00	EST	Hurricane (typhoon)		0	0	20.000M	0.00K
LOWER PLAQUEMINES (ZONE)	LOWER PLAQUEMINES (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	8.600M	0.00K
LOWER ST. BERNARD (ZONE)	LOWER ST. BERNARD (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	940.00K	0.00K
ORLEANS (ZONE)	ORLEANS (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	240.00K	0.00K
ST. JOHN THE BAPTIST (ZO...	ST. JOHN THE BAPTIST (ZO...	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	5.00K	0.00K
UPPER LAFOURCHE (ZONE)	UPPER LAFOURCHE (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	5.00K	0.00K
UPPER TERREBONNE (ZONE)	UPPER TERREBONNE (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	5.00K	0.00K
ST. CHARLES (ZONE)	ST. CHARLES (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	5.00K	0.00K
UPPER JEFFERSON (ZONE)	UPPER JEFFERSON (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	120.00K	0.00K
UPPER PLAQUEMINES (ZONE)	UPPER PLAQUEMINES (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	240.00K	0.00K
UPPER ST. BERNARD (ZONE)	UPPER ST. BERNARD (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	240.00K	0.00K
LOWER LAFOURCHE (ZONE)	LOWER LAFOURCHE (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	240.00K	0.00K
LOWER TERREBONNE (ZONE)	LOWER TERREBONNE (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	5.00K	0.00K
ST. TAMMANY (ZONE)	ST. TAMMANY (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	240.00K	0.00K
LOWER JEFFERSON (ZONE)	LOWER JEFFERSON (ZONE)	LA	9/15/2004	10:00	CST	Hurricane (typhoon)		0	0	940.00K	0.00K
JACKSON (ZONE)	JACKSON (ZONE)	MS	9/15/2004	15:00	CST	Hurricane (typhoon)		0	0	6.000M	0.00K
PEARL RIVER (ZONE)	PEARL RIVER (ZONE)	MS	9/15/2004	15:00	CST	Hurricane (typhoon)		0	0	160.00K	0.00K
HARRISON (ZONE)	HARRISON (ZONE)	MS	9/15/2004	15:00	CST	Hurricane (typhoon)		0	0	1.200M	0.00K
HANCOCK (ZONE)	HANCOCK (ZONE)	MS	9/15/2004	15:00	CST	Hurricane (typhoon)		0	0	640.00K	0.00K
OKTIBBEHA (ZONE)	OKTIBBEHA (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
KEMPER (ZONE)	KEMPER (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
JONES (ZONE)	JONES (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
LAUDERDALE (ZONE)	LAUDERDALE (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
LAMAR (ZONE)	LAMAR (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
CLARKE (ZONE)	CLARKE (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
NEWTON (ZONE)	NEWTON (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
MARION (ZONE)	MARION (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
NOXUBEE (ZONE)	NOXUBEE (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
COVINGTON (ZONE)	COVINGTON (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
CLAY (ZONE)	CLAY (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
JASPER (ZONE)	JASPER (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
FORREST (ZONE)	FORREST (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
NESHOBA (ZONE)	NESHOBA (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
WINSTON (ZONE)	WINSTON (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		1	0	93.75K	31.30K
LOWNDES (ZONE)	LOWNDES (ZONE)	MS	9/16/2004	0:00	CST	Hurricane (typhoon)		0	0	93.75K	31.30K
MONROE/LOWER KEYS (ZONE)	MONROE/LOWER KEYS (ZONE)	FL	9/24/2004	16:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
MONROE/UPPER KEYS (ZONE)	MONROE/UPPER KEYS (ZONE)	FL	9/24/2004	16:00	EST	Hurricane (typhoon)		0	0	5.00K	0.00K
MONROE/MIDDLE KEYS (ZONE)	MONROE/MIDDLE KEYS (ZONE)	FL	9/24/2004	16:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
VOLUSIA (ZONE)	VOLUSIA (ZONE)	FL	9/25/2004	1:40	EST	Hurricane (typhoon)		0	0	59.500M	1.000M
COASTAL PALM BEACH (ZONE)	COASTAL PALM BEACH (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	260.000M	0.00K
HENDRY (ZONE)	HENDRY (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	1.000M	0.00K
GLADES (ZONE)	GLADES (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	2.000M	0.00K
COASTAL DADE (ZONE)	COASTAL DADE (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	10.000M	0.00K
COASTAL BROWARD (ZONE)	COASTAL BROWARD (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	50.000M	0.00K
INLAND PALM BEACH (ZONE)	INLAND PALM BEACH (ZONE)	FL	9/25/2004	9:00	EST	Hurricane (typhoon)		0	0	0.00K	30.000M
MARTIN (ZONE)	MARTIN (ZONE)	FL	9/25/2004	20:14	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
ST. LUCIE (ZONE)	ST. LUCIE (ZONE)	FL	9/25/2004	20:14	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
INDIAN RIVER (ZONE)	INDIAN RIVER (ZONE)	FL	9/25/2004	20:39	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
BREVARD (ZONE)	BREVARD (ZONE)	FL	9/25/2004	22:00	EST	Hurricane (typhoon)		0	0	320.400M	7.700M
MICRONESIA (ZONE)	MICRONESIA (ZONE)	XX	11/29/2004	0:00	SST	Hurricane (typhoon)		0	0	0.00K	50.00K
