Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
ST. MARY (ZONE)	ST. MARY (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	25.000M	28.000M
JEFFERSON DAVIS (ZONE)	JEFFERSON DAVIS (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	20.000M	5.000M
UPPER ST. MARTIN (ZONE)	UPPER ST. MARTIN (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	10.000M	19.500M
ST. LANDRY (ZONE)	ST. LANDRY (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	20.000M	13.000M
IBERIA (ZONE)	IBERIA (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	25.000M	35.000M
AVOYELLES (ZONE)	AVOYELLES (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	4.000M	15.000M
VERMILION (ZONE)	VERMILION (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	60.000M	18.000M
EVANGELINE (ZONE)	EVANGELINE (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	1	20.000M	3.000M
LOWER ST. MARTIN (ZONE)	LOWER ST. MARTIN (ZONE)	LA	10/3/2002	7:00	CST	Hurricane (typhoon)		0	0	1.000M	0.00K
FRANKLIN (ZONE)	FRANKLIN (ZONE)	LA	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	500.00K	0.00K
YAZOO (ZONE)	YAZOO (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
WARREN (ZONE)	WARREN (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
SMITH (ZONE)	SMITH (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
SCOTT (ZONE)	SCOTT (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
MADISON (ZONE)	MADISON (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
LEFLORE (ZONE)	LEFLORE (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	71.43K	0.00K
LEAKE (ZONE)	LEAKE (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
JASPER (ZONE)	JASPER (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
